Text,User
":red_circle:louis arnaud, l’otage français retenu en iran depuis deux ans a été libéré :right_arrow_curving_down:",Valeurs actuelles ن
"le 9 juin, nous allons dire « je veux être heureux, donc je suis français, et ne comptez pas sur moi pour changer d’avis, parce que je suis têtu. » jeanne d’arc, bonaparte et de gaulle étaient têtus. la france est un pays têtu. la france est le pays qui veut être heureux.",Eric Zemmour
"sur la polémique autour de la gpa lancée par , ludo rappelle sur que cette pratique consiste à ""louer une femme, l'utiliser comme incubatrice, pour qu'elle produise un enfant au profit d'un tiers. c'est une exploitation de la femme.""",Le Syndicat de la Famille
"dans cet article l'eurocrate demarty déplore que tous les candidats aux européennes soient sur une ligne protectionniste sauf hayer et gluscksman : qu'il se rassure, ce sont leurs 30% qui s'imposeront aux 70%",Jean-Yves Le Gallou
"il y a erreur, ça c'est l'extrême gauche. elle faisait déjà ça avant milei, elle le fait partout et l'a fait hier soir encore à lyon. c'est sa distraction favorite.",Laurent Obertone
une campagne scientifique à la voile pour récupérer les profileurs argo dans l’atlantique nord (naarco),Breizh-Info
":united_states: joe biden a lancé une procédure afin de reclasser le cannabis comme une substance moins dangereuse. plus précisément, il s'agit de ne plus considérer la marijuana comme une substance addictive au niveau fédéral, ce qui laisse entrevoir une utilisation médicale puis une",TVL
insoutenable légèreté de sévices publics à 7h30 évoque la présence d’un cinéaste iranien au festival de cannes . pas 1 traître mot sur les 7 exécutions d’hier par les mollahs. on préfère s’en prendre à un autre pays du moyen orient qui n’est ni le liban ni la syrie.,G-William Goldnadel
« soldat français en ukraine » : trois ressortissants moldaves interpellés pour avoir tagué des cercueils à paris,Le JDD
"n'importe quel ministre japonais responsable d'un tel merdier se serait déjà défenestré. dupond-moretti n'a même pas proposé sa démission. amra est toujours dans la nature, les prisons sont le country club officiel des barbares, et lui est toujours à son poste.",Laurent Obertone
"d’après les chiffres relevés par ufc que choisir, l’offre de soins libérale est insuffisante pour 25,3 millions d’usagers en france william chancerelle, rédacteur en chef du journal des départements qui vient de sortir un sondage sur les déserts médicaux :""y'a des zones de",Sud Radio
"turquie. çanakalle. réplique du cheval de troie, à l’intérieur duquel, il y a 3200 ans, se dissimulèrent les soldats prêts à détruire la ville. beaucoup de chevaux de troie dans la société française d’aujourd’hui : lobbies divers, élites mondialistes, réseaux trotskistes, etc.",Bruno Gollnisch
"un milliardaire certes, mais un milliardaire resté simple, j’en veux pour preuve que je fais toujours moi-même mes courses à carrefour.",MARSAULT
":large_blue_diamond: 30 avril 1863 : ils étaient 62 face à 2 000… 145 ans après la bataille de camerone, nous nous souvenons du courage et du sacrifice des légionnaires face à l'adversité. leur détermination reste un exemple de bravoure pour les générations futures. legio patria nostra",David Rachline
"au programme ce soir : :argentina: javier milei, fou ou génie ?! avec :crossed_swords: reconquête et en ordre de bataille :red_circle: le naufrage de la gauche :fire: face à l'immigration, le réveil irlandais… et tunisien :sun: de nombreux signes d'espoir rdv à 20h :",Nicolas Faure – Sunrise 🌅🌿
voici les cadeaux pour ces enfants qui ne partent jamais en vacances. je les accueille à aujourd’hui. 200 familles monoparentales .:red_heart::zany_face::red_heart:,Christine KELLY
vers la réunification de l’irlande? | le journal de montréal,Mathieu Bock-Côté
"la coordination rurale est aujourd’hui le premier syndicat agricole de guadeloupe. ils ont notamment été aux côtés des producteurs de canne en colère ces derniers mois, étranglés par les normes et par les intermédiaires agro-industriels.",Nicolas Bay
"« soldats français de l'ukraine » : une banderole et cinq cercueils déposés au pied de la tour eiffel, trois personnes interpellées",Le JDD
manon aubry se dit préoccupée par d'éventuelles atteintes à la liberté de culte. clémentine autain rappelle que le vrai danger c'est l'extrême droite. rachel kéké affirme qu'ils ont mis la démocratie dans un sandwich. sandrine rousseau a passé son portable en mode avion.,Laurent Obertone
la traque des pompiers continue . ces gens préfèrent que le peuple crève plutôt qu’il soit sauvé physiquement par des gens « d’extrême droite » .,Breizh-Info
la presse progressiste abolitionniste l’avait condamné à mort et s’était payé sa tête .,G-William Goldnadel
"reconquête! repart en campagne dans 330 circonscriptions - par reconquête législatives2024 parmi les 330 candidats reconquête, deux noms portent une histoire douloureuse : evelyne reybert et patrick jardin.",Boulevard Voltaire
merci à pour cet échange avec le,PierreYves Rougeyron
"paris viie : piégé par un faux livreur, un étudiant violemment agressé à son domicile par quatre individus, « tous de type africain », sous la menace d’une arme",Fdesouche.com est une revue de presse
nouvelle vidéo : je partage avec vous ma transformation physique from nouveau papa dégueulasse de 83kgs to daron jeune et dynamique de 70kgs :flexed_biceps_medium-light_skin_tone:,Le Raptor
":right_arrow:cette semaine dans votre numéro de fc : :small_blue_diamond:en couv’ cathos des champs : vivre sa foi en rase campagne :small_orange_diamond:portrait : marion muller-colard, une femme funambule :small_blue_diamond:villers-cotterêts : le château de la langue française :small_orange_diamond:église : les rendez-vous de 2024",Famille Chrétienne
"en fait quant t’es un homme, il faudrait que tu fasses signer un contrat à ta partenaire à chaque fois que tu veux coucher avec elle parce qu’entre deux rounds elle peut changer d’avis et t’accuser de viol. ridicule et totalement insupportable.",Thaïs d’Escufon
"pour plusieurs jeunes hommes qui ont expérimenté le parcours de carême exodus 90, les efforts de jeûne et de prière ont porté leurs fruits et ont été maintenus. certains ont même décidé de se lancer dans une nouvelle édition pendant ce carême 2024.",Famille Chrétienne
"ça tombe ce soir ! :right_arrow: « la pénurie de médicament ""devient insupportable"", alerte un syndicat de pharmaciens » ! grève « massive » en vue ! (cf : pénurie grandissante ! et pourtant macron et son gouvernement laissent, pile au même moment, l’entreprise…",Florian Philippot
le baiser qui tue,Ivan Rioufol ن
"la gauche extrême attaque en meute à la sur x. mais, comtesse marie-pierre mossion de la gontrie, un ministre doit évidemment saluer le leader de la recherche sur la trisomie, un institut qui soigne les enfants, forme les médecins. et qui défend la vie. jerôme",Martial Bild
":fire: omar sy, mathieu slama, prisca thevenot… les gauchistes étaient très chauds cette semaine ! :trophy: j'ai pris les pires spécimens de ces derniers jours et je les ai classés dans un top 5 de qualité avec une 1re place assez évidente ! mon classement :",Nicolas Faure – Sunrise 🌅🌿
jean-luc mélenchon peut-il tomber ?,Le JDD
"malheureusement (ou pas), ça ne sera pas suffisant :winking_face:",Franck Allisio
me semble avoir déjà vu ça. faut dire qu'on en voit tellement...,Laurent Obertone
